Program,xPONENT,,Intelliflex,,,,,,,,,,,,,,,,,
"49(1,A7)",Unknown21,1126.44531,869.36523,153.17578,1574.43848,354.89258,584.04492,1349.19141,135.43262,938,,,,,,,,,,
"50(1,B7)",Unknown22,1786.66016,1720.73828,579.875,2510.8916,3728.13867,6799.63574,2350.69531,525.1875,1177,,,,,,,,,,
"51(1,C7)",Unknown23,4617.22754,3519.56641,1983.90625,4448.36035,3246.81055,5440.54004,4378.85742,679.29199,976,,,,,,,,,,
"52(1,D7)",Unknown24,3551.66699,2946.85449,676.83203,3200.05664,1145.67383,1714.31348,3444.32031,525.36328,928,,,,,,,,,,
"53(1,E7)",Unknown65,5739.58691,5321.79297,799.46094,4335.0957,2523.97852,3482.49023,6645.42578,346.19727,962,,,,,,,,,,
"54(1,F7)",Unknown66,3528.6875,4120.69336,216.24707,2819.04492,251.01172,446.76855,4601.97363,83.34473,894,,,,,,,,,,
"55(1,G7)",Unknown67,2182.58789,1875.51367,998.07812,3299.94141,1520.41406,3020.63184,2764.32812,926.93652,921,,,,,,,,,,
"56(1,H7)",Unknown68,7751.6377,8152.33008,635.74805,5307.22168,1711.37891,2482.59668,9017.97949,451.81543,959,,,,,,,,,,
"57(1,A8)",Unknown69,2400.2793,1540.54395,590.37598,3134.60449,1565.64453,2657.61133,2600.54297,309.48047,923,,,,,,,,,,
"58(1,B8)",Unknown70,1875.06445,1245.0293,57.41797,3582.19043,520.94727,898.08691,2921.03418,71.25586,939,,,,,,,,,,
"59(1,C8)",Unknown71,3951.40527,4011.75684,1118.04883,3945.36621,1732.88574,2768.41211,5037.51953,772.97949,954,,,,,,,,,,
"60(1,D8)",Unknown72,5342.83496,5122.50195,1413.74219,4466.33984,3003.95508,3553.57422,6067.44824,819.49023,980,,,,,,,,,,
"61(1,E8)",Unknown73,4527.18945,5156.65625,166.52539,2706.78516,1067.26465,1994.89844,5433.04883,175.14648,1001,,,,,,,,,,
"62(1,F8)",Unknown74,1913.43652,1673.35645,147.03125,1652.27734,795.80566,1513.95898,1714.95312,97.43555,958,,,,,,,,,,
"63(1,G8)",Unknown75,5919.4707,5524.61621,200.45117,4103.14062,765.5918,1120.9043,5600.94727,114.35938,878,,,,,,,,,,
"64(1,H8)",Unknown76,1227.7793,358.12207,41.83203,2336.08398,639.33203,983.06055,1579.2168,56.52148,975,,,,,,,,,,
"65(1,A9)",Unknown77,9346.85938,8552.42578,1745.03516,7321.86719,4361.71875,6271.40234,9927.24023,565.64453,978,,,,,,,,,,
"66(1,B9)",Unknown78,6185.875,5705.92773,1774.82129,5840.18555,2251.55078,3276.29297,6544.52734,853.70898,902,,,,,,,,,,
"67(1,C9)",Unknown79,5067.2168,3061.96094,1212.7666,5428.94727,3166.06055,3302.46875,5361.46094,1444.15234,937,,,,,,,,,,
"68(1,D9)",Unknown80,3425.05566,3561.51172,60.68164,2278.48535,498.06055,740.19922,3202.51172,56.09668,941,,,,,,,,,,
"69(1,E9)",Unknown81,1483.6875,1723.53125,383.7959,1018.99219,682.20117,1383.25781,1292.80762,30.55859,992,,,,,,,,,,
"70(1,F9)",Unknown82,2190.22656,2903.08008,92.48633,1321.33203,1375.25,2666.05664,1969.48047,33.14453,1018,,,,,,,,,,
"71(1,G9)",Unknown83,3571.23242,3844.80566,598.78711,4152.17969,2195.8291,2862.27441,4429.75098,330.17383,925,,,,,,,,,,
"72(1,H9)",Unknown84,1623.68848,2203.27832,194.39453,1337.12109,735.05664,1429.86133,1576.57812,171.70312,912,,,,,,,,,,
"73(1,A10)",Unknown25,5321.8252,4749.96875,666.93359,6306.15918,3951.88379,5686.09766,6809.54395,805.44434,1013,,,,,,,,,,
"74(1,B10)",Unknown26,6743.08203,7431.37109,864.51953,5341.30078,3655.35742,4894.16992,8378.79199,1071.15332,932,,,,,,,,,,
"75(1,C10)",Unknown27,3526.00977,2730.32227,1808.61523,4563.21875,1865.38477,2676.66797,3949.2793,1130.52734,930,,,,,,,,,,
"76(1,D10)",Unknown28,6938.30957,6655.76562,1693.19141,5465.78223,1634.40234,2516.01367,8437.67578,777.65625,1034,,,,,,,,,,
"77(1,E10)",Unknown85,8820.89062,8604.63086,1185.86523,6685.38086,3208.2207,4886.21484,9570.6543,1038.93164,913,,,,,,,,,,
"78(1,F10)",Unknown86,4631.85254,4300.6582,440.06738,4444.82812,865.80273,1171.18945,6077.08594,393.8584,1025,,,,,,,,,,
"79(1,G10)",Unknown87,5983.09375,6187.23438,602,5439.45312,2777.34863,3821.98828,6782.62109,435.50195,873,,,,,,,,,,
"80(1,H10)",Unknown88,8499.66406,9388.89551,866.41797,4241.2002,1850.41797,2273.33594,9525.74023,826.49023,917,,,,,,,,,,
"81(1,A11)",Standard1,7717.49316,5375.28906,2833.62109,6282.57227,3526.38867,4436.16797,8672.68359,3362.83789,942,,,,,,,,,,
"82(1,B11)",Standard2,9677.03906,7329.45312,3274.26562,7609.43066,4441.82227,5878.06641,10974.20312,3637.37109,918,,,,,,,,,,
"83(1,C11)",Standard3,10806.58984,8778.24121,3220.80273,8446.67383,4681.3584,6240.6875,12222.3916,3213.30566,951,,,,,,,,,,
"84(1,D11)",Standard4,11361.0625,9968.29102,2875.0625,8492.83594,4513.40625,6081.77344,12906.03223,2588.79199,953,,,,,,,,,,
"85(1,E11)",Standard5,10984.02734,10326.87109,2157.8418,8223.0625,4210.04395,5886.32227,12525.88086,1720.62305,925,,,,,,,,,,
"86(1,F11)",Standard6,9793.21289,9960.5625,1481.86523,7099.76953,3645.41016,5456.83008,10929.77148,1010.55469,1108,,,,,,,,,,
